Province,year,Violent assault,Robberies with violence in public places,Robberies with violence and intimidation
    Palmas (Las),2015.0,9132.0,453.0,779.0
    Pontevedra,2015.0,4613.0,199.0,367.0
    Salamanca,2015.0,1366.0,115.0,166.0
    Santa Cruz de Tenerife,2015.0,6408.0,487.0,751.0
    Cantabria,2015.0,2656.0,149.0,261.0
    Segovia,2015.0,582.0,32.0,49.0
    Sevilla,2015.0,10782.0,1587.0,2181.0
    Soria,2015.0,323.0,18.0,26.0
    Tarragona,2015.0,3317.0,10.0,1083.0
    Teruel,2015.0,307.0,13.0,23.0
    Toledo,2015.0,3196.0,254.0,392.0
    Valencia/València,2015.0,13123.0,2451.0,3728.0
    Valladolid,2015.0,2242.0,82.0,136.0
    Bizkaia,2015.0,5225.0,934.0,1427.0
    Zamora,2015.0,661.0,36.0,56.0
    Zaragoza,2015.0,3798.0,501.0,762.0
    Ceuta,2015.0,697.0,141.0,174.0
    Melilla,2015.0,979.0,270.0,320.0
    Araba/Álava,2014.0,1926.0,161.0,233.0
    Albacete,2014.0,2115.0,134.0,215.0
    Alicante/Alacant,2014.0,14043.0,1355.0,2157.0
    Almería,2014.0,5154.0,569.0,853.0
    Ávila,2014.0,947.0,34.0,57.0
    Badajoz,2014.0,3776.0,134.0,232.0
    Balears (Illes),2014.0,9299.0,769.0,1217.0
    Barcelona,2014.0,25066.0,46.0,21682.0
    Burgos,2014.0,1784.0,95.0,152.0
    Cáceres,2014.0,1645.0,40.0,65.0
    Cádiz,2014.0,10686.0,688.0,988.0
    Castellón/Castelló,2014.0,3401.0,268.0,483.0
    Ciudad Real,2014.0,2804.0,108.0,181.0
    Córdoba,2014.0,5243.0,423.0,561.0
    Coruña (A),2014.0,5587.0,264.0,466.0
    Cuenca,2014.0,969.0,57.0,88.0
    Girona,2014.0,4448.0,1.0,888.0
    Granada,2014.0,5478.0,633.0,901.0
    Guadalajara,2014.0,1294.0,91.0,145.0
    Gipuzkoa,2014.0,3227.0,173.0,320.0
    Huelva,2014.0,4067.0,214.0,365.0
    Huesca,2014.0,787.0,20.0,64.0
    Jaén,2014.0,3627.0,287.0,405.0
    León,2014.0,2773.0,151.0,260.0
    Lleida,2014.0,2386.0,1.0,409.0
    Rioja (La),2014.0,1527.0,106.0,172.0
    Lugo,2014.0,1397.0,76.0,119.0
    Madrid,2014.0,35230.0,13157.0,18466.0
    Málaga,2014.0,12002.0,1200.0,1758.0
    Murcia,2014.0,8920.0,930.0,1433.0
