Province,year,Total_crimes
    Salamanca,2013,8212.0
    Santa Cruz de Tenerife,2013,40415.0
    Cantabria,2013,15549.0
    Segovia,2013,4091.0
    Sevilla,2013,86653.0
    Soria,2013,1934.0
    Tarragona,2013,38757.0
    Teruel,2013,2565.0
    Toledo,2013,27581.0
    Valencia/València,2013,122393.0
    Valladolid,2013,17294.0
    Bizkaia,2013,46846.0
    Zamora,2013,3873.0
    Zaragoza,2013,29601.0
    Ceuta,2013,4012.0
    Melilla,2013,4351.0
    Araba/Álava,2012,11456.0
    Albacete,2012,13103.0
    Alicante/Alacant,2012,101450.0
    Almería,2012,34064.0
    Ávila,2012,4730.0
    Badajoz,2012,17563.0
    Balears (Illes),2012,69785.0
    Barcelona,2012,306689.0
    Burgos,2012,11291.0
    Cáceres,2012,8209.0
    Cádiz,2012,52786.0
    Castellón/Castelló,2012,28076.0
    Ciudad Real,2012,13906.0
    Córdoba,2012,27548.0
    Coruña (A),2012,28697.0
    Cuenca,2012,5612.0
    Girona,2012,39004.0
    Granada,2012,34994.0
    Guadalajara,2012,8713.0
    Gipuzkoa,2012,19741.0
    Huelva,2012,21445.0
    Huesca,2012,4564.0
    Jaén,2012,16534.0
    León,2012,15291.0
    Lleida,2012,17353.0
    Rioja (La),2012,9201.0
    Lugo,2012,6758.0
    Madrid,2012,369183.0
    Málaga,2012,88065.0
    Murcia,2012,56641.0
    Navarra,2012,16903.0
    Ourense,2012,7410.0
    Asturias,2012,26049.0
    Palencia,2012,3898.0
    Palmas (Las),2012,46426.0
    Pontevedra,2012,27859.0
    Salamanca,2012,8588.0
    Santa Cruz de Tenerife,2012,42588.0
    Cantabria,2012,16672.0
    Segovia,2012,4515.0
    Sevilla,2012,88146.0
    Soria,2012,2182.0
    Tarragona,2012,40278.0
    Teruel,2012,2835.0
    Toledo,2012,26866.0
    Valencia/València,2012,134414.0
    Valladolid,2012,17709.0
    Bizkaia,2012,46440.0
    Zamora,2012,4299.0
    Zaragoza,2012,33167.0
    Ceuta,2012,3995.0
    Melilla,2012,4154.0
    Araba/Álava,2011,12647.0
    Albacete,2011,12812.0
    Alicante/Alacant,2011,104511.0
    Almería,2011,34001.0
    Ávila,2011,4538.0
    Badajoz,2011,17758.0
    Balears (Illes),2011,69822.0
    Barcelona,2011,309329.0
    Burgos,2011,11971.0
    Cáceres,2011,7807.0
    Cádiz,2011,52306.0
    Castellón/Castelló,2011,27663.0
    Ciudad Real,2011,13772.0
    Córdoba,2011,27082.0
    Coruña (A),2011,27041.0
    Cuenca,2011,5852.0
    Girona,2011,38285.0
    Granada,2011,36770.0
    Guadalajara,2011,8663.0
    Gipuzkoa,2011,19061.0
    Huelva,2011,21872.0
    Huesca,2011,4807.0
    Jaén,2011,16929.0
    León,2011,14920.0
    Lleida,2011,16689.0
    Rioja (La),2011,8606.0
    Lugo,2011,6393.0
    Madrid,2011,366407.0
    Málaga,2011,92413.0
    Murcia,2011,55902.0
    Navarra,2011,16263.0
    Ourense,2011,6186.0
    Asturias,2011,25153.0
    Palencia,2011,3970.0
    Palmas (Las),2011,45593.0
    Pontevedra,2011,27607.0
    Salamanca,2011,8628.0
    Santa Cruz de Tenerife,2011,41959.0
    Cantabria,2011,15571.0
    Segovia,2011,4249.0
    Sevilla,2011,90690.0
    Soria,2011,2184.0
    Tarragona,2011,40530.0
    Teruel,2011,2654.0
    Toledo,2011,26023.0
    Valencia/València,2011,133467.0
    Valladolid,2011,16398.0
    Bizkaia,2011,43218.0
    Zamora,2011,3853.0
    Zaragoza,2011,36017.0
    Ceuta,2011,3475.0
    Melilla,2011,4476.0
    Araba/Álava,2010,13368.0
    Albacete,2010,12849.0
    Alicante/Alacant,2010,108020.0
    Almería,2010,33407.0
    Ávila,2010,4606.0
    Badajoz,2010,18685.0
    Balears (Illes),2010,65555.0
    Barcelona,2010,320008.0
    Burgos,2010,12225.0
    Cáceres,2010,8073.0
    Cádiz,2010,52920.0
    Castellón/Castelló,2010,27154.0
    Ciudad Real,2010,14079.0
    Córdoba,2010,27518.0
    Coruña (A),2010,27273.0
    Cuenca,2010,5762.0
    Girona,2010,41656.0
    Granada,2010,38819.0
    Guadalajara,2010,8026.0
    Gipuzkoa,2010,19329.0
    Huelva,2010,19761.0
    Huesca,2010,4938.0
    Jaén,2010,18039.0
    León,2010,14524.0
    Lleida,2010,16859.0
    Rioja (La),2010,8852.0
    Lugo,2010,6004.0
    Madrid,2010,375757.0
    Málaga,2010,97489.0
    Murcia,2010,55651.0
    Navarra,2010,15471.0
    Ourense,2010,5866.0
    Asturias,2010,25092.0
    Palencia,2010,4007.0
    Palmas (Las),2010,43969.0
    Pontevedra,2010,25259.0
    Salamanca,2010,9737.0
    Santa Cruz de Tenerife,2010,40949.0
    Cantabria,2010,15223.0
    Segovia,2010,4279.0
    Sevilla,2010,93461.0
    Soria,2010,2174.0
    Tarragona,2010,42232.0
    Teruel,2010,2696.0
    Toledo,2010,23050.0
    Valencia/València,2010,135945.0
    Valladolid,2010,17525.0
    Bizkaia,2010,43587.0
    Zamora,2010,3575.0
    Zaragoza,2010,37759.0
    Ceuta,2010,3922.0
    Melilla,2010,4365.0
