
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
Total Nacional,
    5.2.-Robos con fuerza en las cosas,1828.0,1926.0,1648.0,1442.0,1831.0,1962.0,2134.0,2403.0,2690.0,2651.0,3177.0,3271.0,3226.0,3400.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,327.0,327.0,285.0,249.0,388.0,427.0,461.0,481.0,510.0,392.0,551.0,479.0,566.0,474.0,
    5.2.2.-Robos con fuerza en viviendas,585.0,573.0,571.0,466.0,550.0,572.0,615.0,704.0,786.0,778.0,881.0,1063.0,841.0,937.0,
    5.2.3.-Robos con fuerza en establecimientos,233.0,282.0,247.0,232.0,315.0,341.0,423.0,467.0,395.0,404.0,418.0,453.0,483.0,610.0,
    5.3.-Robos con violencia o intimidación,191.0,200.0,144.0,157.0,123.0,128.0,147.0,146.0,183.0,181.0,266.0,304.0,268.0,258.0,
    5.3.1.-Robos con violencia en vía pública,107.0,128.0,90.0,70.0,67.0,66.0,87.0,78.0,109.0,108.0,155.0,176.0,169.0,175.0,
    5.3.2.-Robos con violencia en viviendas,28.0,21.0,14.0,18.0,11.0,18.0,13.0,19.0,20.0,23.0,30.0,33.0,28.0,21.0,
    5.3.3.-Robos con violencia en establecimientos,45.0,37.0,30.0,57.0,29.0,27.0,32.0,35.0,30.0,27.0,52.0,69.0,46.0,41.0,
Córdoba,
    5.2.-Robos con fuerza en las cosas,3532.0,3046.0,2276.0,2086.0,3073.0,3516.0,4184.0,3708.0,3832.0,4557.0,5307.0,5534.0,5624.0,5950.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1312.0,984.0,677.0,546.0,960.0,952.0,1247.0,1132.0,1252.0,1515.0,1569.0,1734.0,2011.0,1979.0,
    5.2.2.-Robos con fuerza en viviendas,1026.0,961.0,736.0,648.0,897.0,1122.0,1377.0,1189.0,1137.0,1224.0,1553.0,1545.0,1134.0,1339.0,
    5.2.3.-Robos con fuerza en establecimientos,423.0,327.0,260.0,380.0,526.0,580.0,649.0,495.0,439.0,536.0,655.0,713.0,666.0,711.0,
    5.3.-Robos con violencia o intimidación,414.0,364.0,273.0,286.0,487.0,541.0,565.0,494.0,509.0,561.0,857.0,962.0,969.0,810.0,
    5.3.1.-Robos con violencia en vía pública,260.0,227.0,177.0,187.0,351.0,363.0,369.0,333.0,371.0,423.0,627.0,729.0,741.0,633.0,
    5.3.2.-Robos con violencia en viviendas,42.0,36.0,32.0,37.0,32.0,52.0,28.0,33.0,46.0,32.0,69.0,54.0,42.0,25.0,
    5.3.3.-Robos con violencia en establecimientos,62.0,63.0,41.0,38.0,57.0,77.0,104.0,66.0,53.0,60.0,80.0,87.0,74.0,89.0,
Coruña (A),
    5.2.-Robos con fuerza en las cosas,4502.0,4249.0,4338.0,3399.0,4021.0,4681.0,4615.0,5149.0,4909.0,4887.0,5179.0,5207.0,4621.0,4967.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1722.0,1774.0,1921.0,1201.0,1317.0,1680.0,1550.0,1687.0,1325.0,1337.0,1387.0,1487.0,1184.0,850.0,
    5.2.2.-Robos con fuerza en viviendas,1197.0,1232.0,1270.0,1082.0,1397.0,1474.0,1547.0,1598.0,1839.0,1964.0,1793.0,1511.0,1066.0,1111.0,
    5.2.3.-Robos con fuerza en establecimientos,886.0,615.0,579.0,634.0,686.0,831.0,845.0,1144.0,859.0,806.0,1009.0,1068.0,895.0,1215.0,
    5.3.-Robos con violencia o intimidación,552.0,458.0,463.0,349.0,440.0,381.0,429.0,473.0,454.0,466.0,557.0,635.0,618.0,629.0,
    5.3.1.-Robos con violencia en vía pública,310.0,241.0,262.0,155.0,207.0,194.0,217.0,233.0,224.0,264.0,282.0,369.0,295.0,402.0,
    5.3.2.-Robos con violencia en viviendas,52.0,52.0,51.0,55.0,52.0,43.0,57.0,57.0,46.0,54.0,61.0,52.0,54.0,43.0,
    5.3.3.-Robos con violencia en establecimientos,119.0,88.0,97.0,89.0,108.0,83.0,87.0,100.0,117.0,86.0,127.0,116.0,120.0,132.0,
Cuenca,
    5.2.-Robos con fuerza en las cosas,1066.0,1000.0,714.0,661.0,929.0,1039.0,1163.0,1340.0,1319.0,1325.0,1400.0,1385.0,1455.0,1512.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,252.0,217.0,155.0,144.0,144.0,228.0,216.0,243.0,228.0,216.0,218.0,253.0,228.0,212.0,
    5.2.2.-Robos con fuerza en viviendas,325.0,263.0,231.0,237.0,363.0,374.0,416.0,406.0,437.0,444.0,443.0,410.0,389.0,430.0,
    5.2.3.-Robos con fuerza en establecimientos,131.0,166.0,118.0,83.0,154.0,178.0,214.0,251.0,172.0,173.0,192.0,206.0,344.0,271.0,
    5.3.-Robos con violencia o intimidación,49.0,47.0,79.0,66.0,95.0,76.0,62.0,79.0,74.0,88.0,95.0,82.0,82.0,84.0,
    5.3.1.-Robos con violencia en vía pública,17.0,26.0,32.0,28.0,49.0,39.0,40.0,48.0,50.0,57.0,53.0,49.0,35.0,41.0,
    5.3.2.-Robos con violencia en viviendas,16.0,8.0,16.0,9.0,11.0,20.0,3.0,6.0,5.0,17.0,13.0,5.0,9.0,12.0,
    5.3.3.-Robos con violencia en establecimientos,8.0,4.0,17.0,23.0,20.0,9.0,7.0,11.0,7.0,5.0,12.0,10.0,10.0,18.0,
Girona,
    5.2.-Robos con fuerza en las cosas,6971.0,8007.0,7091.0,6880.0,10344.0,8907.0,8156.0,7943.0,8074.0,8923.0,9394.0,10641.0,10276.0,12007.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2352.0,3063.0,2476.0,14.0,4088.0,2955.0,2922.0,2468.0,2572.0,2989.0,3135.0,3438.0,3898.0,5324.0,
    5.2.2.-Robos con fuerza en viviendas,2561.0,2728.0,2710.0,2554.0,3630.0,3629.0,3066.0,3083.0,2862.0,2989.0,3323.0,3714.0,3075.0,2753.0,
    5.2.3.-Robos con fuerza en establecimientos,850.0,910.0,755.0,742.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,
    5.3.-Robos con violencia o intimidación,1054.0,1012.0,877.0,754.0,1109.0,956.0,818.0,809.0,820.0,888.0,1125.0,1038.0,1034.0,943.0,
    5.3.1.-Robos con violencia en vía pública,636.0,589.0,537.0,497.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,4.0,5.0,0.0,
    5.3.2.-Robos con violencia en viviendas,77.0,76.0,71.0,60.0,40.0,29.0,44.0,30.0,18.0,21.0,30.0,12.0,19.0,50.0,
